ProductName,imagelink,productlink,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,globalReviews,reviewsLink,Sales Package,Pack of,Brand,Model Number,Quantity,Type,Maximum Shelf Life,HighLights,Model Name,Ayush License Number,Treatment,Food Preference,Form,Prescription Required,Benefits,Dosage,Ingredients,Usage Timings,Dietary Preference,Number of Scoops per Container,Ayurvedic,Container Type,Serving Size,Legal Disclaimer,Composition,Country of Origin,Other Daily Value Features,other_features,Flavor,Nutrient Content,Form Factor,Directions,Outer Material,Surface Type,Holding Time,Power Requirement,Number of Medical Gloves,Size,Material,Color,Other Features,Total no of Pieces,No of Diapers Per Pack,Set of,Ideal For,Weight,Pack Of,Ideal Dosage,Description,Usage Description,Usage Instruction,Side Effects,Ply,Mask Type,Respirator Type,Mounting Type,Suitable For,Straps,Storage Type,Inhalation Valves,Melt Blown Fabric Used,Air Flow Rate,Application Area,Protein Type,Shelf Life,Charging Time,Width,Height,Warranty Summary,Vitamin,Zinc,Other Power Features,Therapeutic Classification,Manufacturer Name,How it Works,Safety Advice,Interaction with Drugs & Food,Under DPCO,Manufacturer License,Storage,Contraindications,Schedule,Calcium,Magnesium,Copper,Manganese,Organic,Storage Instructions,Depth,Minimum Age,Maximum Age,Compatible Baby Weight,Series,Closure Type,Effective Duration,Washable,Convenience and Safety,Scented,Label Size,Character,Design
Dettol Effective Protection Antiseptic Liquid  (550 ml),https://rukminim1.flixcart.com/image/612/612/l2qhjm80/antiseptic/z/j/s/-original-imageyap3yeechdp.jpeg?q=70,https://www.flipkart.com/dettol-effective-protection-antiseptic-liquid/p/itmdfde986973c9c?pid=ANSEZGGW45H4ZSTU&lid=LSTANSEZGGW45H4ZSTUDXNCUD&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.ANSEZGGW45H4ZSTU.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,194,214,4.5,"7,240 Ratings &346 Reviews","5,106","1,380",438,131,185,346 Reviews,https://www.flipkart.com/dettol-effective-protection-antiseptic-liquid/product-reviews/itmdfde986973c9c?pid=ANSEZGGW45H4ZSTU&lid=LSTANSEZGGW45H4ZSTUDXNCUD&marketplace=FLIPKART,1 Antiseptic Liquid,1,Dettol,Effective Protection,550 ml,Liquid,36 Months,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Dettol Effective Protection Antiseptic Liquid  (1000 ml),https://rukminim1.flixcart.com/image/612/612/xif0q/antiseptic/n/s/7/-original-imagkfjntuhqh6fk.jpeg?q=70,https://www.flipkart.com/dettol-effective-protection-antiseptic-liquid/p/itm7b822a0a8f568?pid=ANSGYSNS52NNE2EX&lid=LSTANSGYSNS52NNE2EXXXSPTD&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&spotlightTagId=BestsellerId_search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.ANSGYSNS52NNE2EX.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,267,301,4.6,"43,259 Ratings &2,924 Reviews","30,216","9,143","2,350",672,878,"2,924 Reviews",https://www.flipkart.com/dettol-effective-protection-antiseptic-liquid/product-reviews/itm7b822a0a8f568?pid=ANSGYSNS52NNE2EX&lid=LSTANSGYSNS52NNE2EXXXSPTD&marketplace=FLIPKART,1 Antiseptic Liquid,1,Dettol,Effective Protection,1000 ml,Liquid,42 Months,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
sanyasi ayurveda Sanyasi Sehat Tablet - Ayurvedic Medicine For Weight Gain,https://rukminim1.flixcart.com/image/612/612/xif0q/ayurvedic/k/q/g/sanyasi-sehat-tablet-ayurvedic-medicine-for-weight-gain-1-original-imagjfczuyt98hfc.jpeg?q=70,https://www.flipkart.com/sanyasi-ayurveda-sehat-tablet-ayurvedic-medicine-weight-gain/p/itm9d985b8cb661e?pid=AYDFZDV9BWZZEDUZ&lid=LSTAYDFZDV9BWZZEDUZYCR5T4&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.AYDFZDV9BWZZEDUZ.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,694,799,4.1,"28,080 Ratings &2,211 Reviews","16,870","4,147","2,350","1,396","3,317","2,211 Reviews",https://www.flipkart.com/sanyasi-ayurveda-sehat-tablet-ayurvedic-medicine-weight-gain/product-reviews/itm9d985b8cb661e?pid=AYDFZDV9BWZZEDUZ&lid=LSTAYDFZDV9BWZZEDUZYCR5T4&marketplace=FLIPKART,1,1,sanyasi ayurveda,Not available,120 Tablets,Not available,24 Months,"[""Quantity: 120 Tablets"",""Form: Tablets"",""Ayush License Number: A.U.4127/09"",""Treatment: General Wellness""]",Sanyasi Sehat Tablet - Ayurvedic Medicine For Weight Gain,A.U.4127/09,General Wellness,Vegetarian,Tablets,No,"Weight and Muscle Gainer: Helps to increase Weight and Muscle with the help of natural and ayurvedic ingredientsImprove Digestive System: Sanyasi Sehat tablet helps in strengtheing the digestive system so that whatever we eat is completely digested and absorbed in our body.Appetite Increaser: Helps to increase appetite so that our body gets the full squeeze of whatever we eat and increase the strength, energy and stamina.Blood Booster: Sanyasi sehat tablet helps to increase blood, RBC and WBC in our body and give us power to fight disease.Highest Quailty Guarantee source: Our premium quality ayurvedic herbs which have all the required nutrition. These high potency herbs directly impact the root cause of the problem and have no side effects.NO side effects: Sanyasi sehat tablets are totally made by natural ingredients.whcih doesn't have any side effect on the body and 100% safe .",1-2 tab twice a day,"Nausadar , Kala Namak ,Lahori Namak, Narkachor, Harar Kali,Amla, Tej Patta",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Dr. Vaidya's Herbobuild - Ayurvedic Capsules For Muscle Gain with Ashwagandha,https://rukminim1.flixcart.com/image/612/612/kz3118w0/ayurvedic/s/k/c/herbobuild-ayurvedic-capsules-for-muscle-gain-and-performance-original-imagb6m6rt3c8fky.jpeg?q=70,https://www.flipkart.com/dr-vaidya-s-herbobuild-ayurvedic-capsules-muscle-gain-ashwagandha/p/itm3e63b876d5292?pid=VSLFMAPHBTFCEFES&lid=LSTVSLFMAPHBTFCEFES1YMUVU&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=en_g1DNcGCMeDqOGeGs9IZdOotS9%2FRdcD2rFkWMFoq1nCSS2W6i7uyDPPbvx5%2BHfTxtaDJfkG%2BFp2D%2FlxZL7Dd54Q%3D%3D&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,236,299,4,"24,633 Ratings &2,274 Reviews","14,253","3,338","2,312","1,428","3,302","2,274 Reviews",https://www.flipkart.com/dr-vaidya-s-herbobuild-ayurvedic-capsules-muscle-gain-ashwagandha/product-reviews/itm3e63b876d5292?pid=VSLFMAPHBTFCEFES&lid=LSTVSLFMAPHBTFCEFES1YMUVU&marketplace=FLIPKART,1,1,Dr. Vaidya's,Not available,30 Capsules,Not available,36 Months,"[""Quantity: 30 Capsules"",""Form: Capsules"",""Ayush License Number: DNH/AYU/09"",""Treatment: Immunity Booster""]",Herbobuild - Ayurvedic Capsules For Muscle Gain with Ashwagandha,DNH/AYU/09,Immunity Booster,Vegetarian,Capsules,No,"Herbal Support for Bodybuilders and Athletes,amino acid asparagine in shatavari enhances protein synthesis,Help to raise testosterone levels naturally",Dosage: One capsule every morning after breakfast,"Ashwagandha, Safed museli, shatavriAmla
Elaichi
Kesar
Jayphal
Javantri 
Elcha 
Nagarmotha 
Jatamansi 
Taj 
Tejpatra 
Shahjira 
Dhania
Talis Patra
Kapurkachli
Gulab 
Mastaki 
Tagar
Agar 
Abrakh Bhasm
Nirbhishi",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
BEST CHOICE NUTRITION Vitamin E (Pack of 50 Capsules) Face Hair Pimple Glowing Skin & hair care  (50 No),https://rukminim1.flixcart.com/image/612/612/khtghow0-0/vitamin-supplement/a/j/c/50-vitamin-e-pack-of-50-capsules-face-hair-pimple-glowing-skin-original-imafxqttfpqsazf3.jpeg?q=70,https://www.flipkart.com/best-choice-nutrition-vitamin-e-pack-50-capsules-face-hair-pimple-glowing-skin-care/p/itm6dac0360f5202?pid=VSLF6CHBHHRMZHQZ&lid=LSTVSLF6CHBHHRMZHQZO3H6IQ&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.VSLF6CHBHHRMZHQZ.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,145,750,4.2,"17,578 Ratings &1,179 Reviews","9,571","4,045","2,122",777,"1,063","1,179 Reviews",https://www.flipkart.com/best-choice-nutrition-vitamin-e-pack-50-capsules-face-hair-pimple-glowing-skin-care/product-reviews/itm6dac0360f5202?pid=VSLF6CHBHHRMZHQZ&lid=LSTVSLF6CHBHHRMZHQZO3H6IQ&marketplace=FLIPKART,Not available,Not available,BEST CHOICE NUTRITION,Vitamin E capsule Face Hair Pimple Glowing Skin & hair care,50 No,Vitamin E,Not available,"[""Vitamin E Supplements"",""Softgel Form"",""Suitable For: Non-vegetarian"",""Pack of 1""]",Vitamin E (Pack of 50 Capsules) Face Hair Pimple Glowing Skin & hair care,Not available,Not available,Non-vegetarian,Softgel,Not available,Not available,Not available,Not available,"Post-workout, Pre-workout","No MSG, No Artificial Color, Gluten Free",50,Yes,Refill,2 No,"Flipkart endeavors to ensure the accuracy of the information about the products. It is pertinent to note that, actual product packaging and materials may contain more and/or different information which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions etc. We recommend the consumers to always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please contact the manufacturer.",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"MUSCLEBLAZE Omega 3 Fish Oil 1000 mg, India's Only Labdoor USA Certified with 180 mg EPA  (30 Capsules)",https://rukminim1.flixcart.com/image/612/612/kw9krrk0/vitamin-supplement/q/o/2/30-omega-3-fish-oil-1000-mg-india-s-only-labdoor-usa-certified-original-imag8zczram767wz.jpeg?q=70,https://www.flipkart.com/muscleblaze-omega-3-fish-oil-1000-mg-india-s-only-labdoor-usa-certified-180-mg-epa/p/itm1a28d3455b646?pid=VSLG8ZCZNGPNDEZY&lid=LSTVSLG8ZCZNGPNDEZYLB6FLO&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.VSLG8ZCZNGPNDEZY.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,329,399,4.3,"35,406 Ratings &2,600 Reviews","21,659","7,964","3,031","1,010","1,742","2,600 Reviews",https://www.flipkart.com/muscleblaze-omega-3-fish-oil-1000-mg-india-s-only-labdoor-usa-certified-180-mg-epa/product-reviews/itm1a28d3455b646?pid=VSLG8ZCZNGPNDEZY&lid=LSTVSLG8ZCZNGPNDEZYLB6FLO&marketplace=FLIPKART,"1 Bottle of Omega 3 Fish Oil 1000 mg, India's Only Labdoor USA Certified for Purity & Accuracy with 180 mg EPA and 120 mg DHA, 30 Capsules",Not available,MUSCLEBLAZE,HNUT1783-06,30 Capsules,Special Supplements,18 Months,"[""Special Supplements"",""Capsules Form"",""Suitable For: Non-vegetarian"",""Pack of 1""]","Omega 3 Fish Oil 1000 mg, India's Only Labdoor USA Certified with 180 mg EPA",Not available,Not available,Non-vegetarian,Capsules,Not available,Not available,Not available,Not available,Not available,Sugar Free,Not available,No,Bottle,1 No,"Flipkart endeavors to ensure the accuracy of the information about the products. It is pertinent to note that, actual product packaging and materials may contain more and/or different information which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions etc. We recommend the consumers to always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please contact the manufacturer.","Fish Oil, Gelatin Food Grade, Humectants (INS 422 and INS 420(ii)), Purified Water and Preservative (INS 218)",India,"Omega 3 fish oil capsules for heart, brains, joints, and eyes heath","Labdoor USA Certified for Purity & Accuracy, Free from heavy metals, Sourced from anchovies, Ultra refined by molecular distillation, No fishy burps, Non-GMO ingredients",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
HORLICKS Classic Malt  (500 g),https://rukminim1.flixcart.com/image/612/612/kgwld3k0/milk-drink-mix/f/u/a/500-classic-malt-plastic-bottle-horlicks-original-imafxf7xyubggpdn.jpeg?q=70,https://www.flipkart.com/horlicks-classic-malt/p/itm62a45129654b4?pid=MDMETGN5WRAWZFUA&lid=LSTMDMETGN5WRAWZFUAV7F0O0&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.MDMETGN5WRAWZFUA.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,250,250,4.4,"3,10,228 Ratings &23,206 Reviews","2,11,159","59,014","19,840","7,781","12,434","23,206 Reviews",https://www.flipkart.com/horlicks-classic-malt/product-reviews/itm62a45129654b4?pid=MDMETGN5WRAWZFUA&lid=LSTMDMETGN5WRAWZFUAV7F0O0&marketplace=FLIPKART,Not available,1,HORLICKS,Not available,500 g,Not available,12 Months,Not available,Classic Malt,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,Not available,Not available,Not available,Not available,Plastic Bottle,Not available,Not available,Not available,Not available,Not available,Not available,Plain,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
mushroomex MushrromeX Mushroom Poweder (Ayurvedic Weight Gainer 100 GM),https://rukminim1.flixcart.com/image/612/612/kg8avm80/ayurvedic/h/k/s/100-mushroom-powder-mushroomex-original-imafwgyrsrupvhvq.jpeg?q=70,https://www.flipkart.com/mushroomex-mushrromex-mushroom-poweder-ayurvedic-weight-gainer-100-gm/p/itm829564569a0cd?pid=AYDFXBHUZHT6DYHM&lid=LSTAYDFXBHUZHT6DYHMN7K35C&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_g1DNcGCMeDqOGeGs9IZdOotS9%2FRdcD2rFkWMFoq1nCTPKhRuVwg60G2v03fLvpteg1PW%2BtSu%2F%2FHKivzSxfAK3A%3D%3D&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,343,360,4.2,"5,597 Ratings &349 Reviews","3,441",899,468,240,549,349 Reviews,https://www.flipkart.com/mushroomex-mushrromex-mushroom-poweder-ayurvedic-weight-gainer-100-gm/product-reviews/itm829564569a0cd?pid=AYDFXBHUZHT6DYHM&lid=LSTAYDFXBHUZHT6DYHMN7K35C&marketplace=FLIPKART,Not available,1,mushroomex,Not available,100,Not available,24 Months,"[""Quantity: 100"",""Form: Powder"",""Ayush License Number: MP25D/11/131"",""Treatment: Bone, Joint and Muscle Care""]",MushrromeX Mushroom Poweder (Ayurvedic Weight Gainer 100 GM),MP25D/11/131,"Bone, Joint and Muscle Care",Vegetarian,Powder,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
COMPLAN Nutrition and Health Drink Royale Chocolate Refill  (500 g),https://rukminim1.flixcart.com/image/612/612/ksoz53k0/milk-drink-mix/v/v/u/royale-chocolate-carton-complan-original-imag677sybb3fsny.jpeg?q=70,https://www.flipkart.com/complan-nutrition-health-drink-royale-chocolate-refill/p/itm54bb9c4d8c667?pid=MDMETGN5UXYHM2QP&lid=LSTMDMETGN5UXYHM2QPOPO4DZ&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.MDMETGN5UXYHM2QP.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,268,289,4.5,"13,875 Ratings &934 Reviews","9,345","2,715","1,019",354,442,934 Reviews,https://www.flipkart.com/complan-nutrition-health-drink-royale-chocolate-refill/product-reviews/itm54bb9c4d8c667?pid=MDMETGN5UXYHM2QP&lid=LSTMDMETGN5UXYHM2QPOPO4DZ&marketplace=FLIPKART,"500 g Complan, 200 g Ketchup Bottle",1,COMPLAN,Not available,500 g,Not available,18 Months,Not available,Nutrition and Health Drink Royale Chocolate Refill,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,Not available,Not available,Not available,Not available,Carton,Not available,Not available,Not available,Not available,Not available,Not available,Chocolate,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
HORLICKS Chocolate Delight Flavor  (1 kg),https://rukminim1.flixcart.com/image/612/612/kingqkw0/milk-drink-mix/n/w/e/1-chocolate-delight-flavor-carton-horlicks-original-imafye7qmbgfyr9n.jpeg?q=70,https://www.flipkart.com/horlicks-chocolate-delight-flavor/p/itm26d535f9a746b?pid=MDMETGN5U9FHGNWE&lid=LSTMDMETGN5U9FHGNWEZGOQT9&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.MDMETGN5U9FHGNWE.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,355,439,4.4,"67,565 Ratings &6,737 Reviews","43,162","14,251","5,565","1,995","2,592","6,737 Reviews",https://www.flipkart.com/horlicks-chocolate-delight-flavor/product-reviews/itm26d535f9a746b?pid=MDMETGN5U9FHGNWE&lid=LSTMDMETGN5U9FHGNWEZGOQT9&marketplace=FLIPKART,Not available,1,HORLICKS,Not available,1 kg,Not available,12 Months,Not available,Chocolate Delight Flavor,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,Not available,Not available,Not available,Not available,Carton,Not available,Not available,Not available,Not available,Not available,Not available,Chocolate,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"HORLICKS Junior Health & Nutrition Drink Vanilla Nutrition Drink  (1 kg, Vanilla Flavored)",https://rukminim1.flixcart.com/image/612/612/klb78nk0/energy-sport-drink-mix/y/t/s/1-junior-health-nutrition-drink-vanilla-1-horlicks-original-imagygsyhsg4fjrb.jpeg?q=70,https://www.flipkart.com/horlicks-junior-health-nutrition-drink-vanilla/p/itm769b62b7e0227?pid=ESRGYEKGXHSHSFBJ&lid=LSTESRGYEKGXHSHSFBJ4DCNIB&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.ESRGYEKGXHSHSFBJ.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,475,575,4.6,78 Ratings &4 Reviews,55,17,2,2,2,4 Reviews,https://www.flipkart.com/horlicks-junior-health-nutrition-drink-vanilla/product-reviews/itm769b62b7e0227?pid=ESRGYEKGXHSHSFBJ&lid=LSTESRGYEKGXHSHSFBJ4DCNIB&marketplace=FLIPKART,Not available,1,HORLICKS,Not available,1 kg,Nutrition Drink,12 Months,"[""Quantity: 1 kg"",""Type: Nutrition Drink"",""Flavor: Vanilla"",""Form Factor: Powder"",""Food Preference: Vegetarian""]",Junior Health & Nutrition Drink Vanilla,Not available,Not available,Vegetarian,Not available,Not available,Not available,Not available,NA,Not available,Not available,Not available,Not available,Box,Not available,Not available,Not available,Not available,Not available,Not available,Vanilla,NA,Powder,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
