ProductName,imagelink,productlink,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,globalReviews,reviewsLink,HighLights,Model Number,Sales Package,Ideal For,Type,Ingredient Type,Pack of,Brand,Model Name,Quantity,Face Wash Type,Maximum Shelf Life,Applied For,Skin Type,Container Type,Gift Pack,Other Traits,Country of Origin,Organic Type,Treatment Time,Application Frequency,Paraben Free,Treatment Form,Treatment Kit Contents,Organic,Treatment Type,Treatment Kit,Professional Care,Composition,Application Area,Hair Styling Type,Hair Type,Cleanser Type,Ideal Usage,Sulfate Free,PA Rating,SPF Rating,Formulation,Fragrance Classification,Domestic Warranty,Other Feature,Other Features,Anti Perspirant,Fragrance Family,Limited Edition,UV Protection,Set Of,Other Fetures
PARK AVENUE Good Morning Grooming Gift Set  (7 Items in the set),https://rukminim1.flixcart.com/image/612/612/kwl0akw0/combo-kit/r/g/m/-original-imag9853zzyp42pz.jpeg?q=70,https://www.flipkart.com/park-avenue-good-morning-grooming-gift-set/p/itm0b4cfeb0d535a?pid=CBKEQK85BKNVXGV6&lid=LSTCBKEQK85BKNVXGV68XJDJU&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.CBKEQK85BKNVXGV6.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,406,625,4.3,14698,"8,807","3,580","1,320",430,561,"1,381 Reviews",https://www.flipkart.com/park-avenue-good-morning-grooming-gift-set/product-reviews/itm0b4cfeb0d535a?pid=CBKEQK85BKNVXGV6&lid=LSTCBKEQK85BKNVXGV68XJDJU&marketplace=FLIPKART,"[""Pack of: 7"",""For: Men"",""Includes Men's Grooming Combo""]",PAGMK001101,"Shaving Cream, Brush, Razor, After Shave Lotion, Soap, Deodorant, Travel Pouch",Men,Men's Grooming Combo,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
PARK AVENUE Essential Grooming Gifting Kit  (6 Items in the set),https://rukminim1.flixcart.com/image/612/612/kwl0akw0/combo-kit/n/g/b/-original-imag9852zfbtsqug.jpeg?q=70,https://www.flipkart.com/park-avenue-essential-grooming-gifting-kit/p/itmf07bcfeb52966?pid=CBKEQK856HJ422RD&lid=LSTCBKEQK856HJ422RDVFDEZ6&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.CBKEQK856HJ422RD.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,308,440,4.3,16262,"9,543","4,072","1,553",467,627,"1,548 Reviews",https://www.flipkart.com/park-avenue-essential-grooming-gifting-kit/product-reviews/itmf07bcfeb52966?pid=CBKEQK856HJ422RD&lid=LSTCBKEQK856HJ422RDVFDEZ6&marketplace=FLIPKART,"[""Pack of: 6"",""For: Men"",""Includes Men's Grooming Combo""]",PAGKE001017,"Shaving Cream, Brush, Razor, After Shave Lotion, Soap, Travel Pouch",Men,Men's Grooming Combo,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
PARK AVENUE Luxury Grooming Gifting Collection  (7 Items in the set),https://rukminim1.flixcart.com/image/612/612/kwl0akw0/combo-kit/r/l/k/-original-imag9853gyb5uf9e.jpeg?q=70,https://www.flipkart.com/park-avenue-luxury-grooming-gifting-collection/p/itm697049758e2dd?pid=CBKEQK85WHBZ8GFS&lid=LSTCBKEQK85WHBZ8GFSXMBZCG&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.CBKEQK85WHBZ8GFS.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,474,730,4.4,13139,"8,296","3,116","1,012",276,439,"1,243 Reviews",https://www.flipkart.com/park-avenue-luxury-grooming-gifting-collection/product-reviews/itm697049758e2dd?pid=CBKEQK85WHBZ8GFS&lid=LSTCBKEQK85WHBZ8GFSXMBZCG&marketplace=FLIPKART,"[""Pack of: 7"",""For: Men"",""Includes Men's Grooming Combo""]",PAGKL001101,"Shaving Cream, Brush, Razor, After Shave Lotion, Soap, Talc, Deodorant, Travel Pouch",Men,Men's Grooming Combo,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Garnier Men Turbo Bright - Charcoal Skin Brightening ,150gm (Pack of 2) Face Wash  (300 g)",https://rukminim1.flixcart.com/image/612/612/ko8xtow0/face-wash/r/7/b/men-turbo-bright-facewash-charcoal-skin-brightening-facewash-original-imag2qyp5zfzfmyq.jpeg?q=70,https://www.flipkart.com/garnier-men-turbo-bright-charcoal-skin-brightening-150gm-pack-2-face-wash/p/itm9dcae28ef75c2?pid=FCWGF44HDSWKKMYP&lid=LSTFCWGF44HDSWKKMYPT2CR8A&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=en_%2B%2B9pv7ulGuFp1tVXtPiQ7BcHSNqjYMv%2Fu1rYyRauGdJwgRPyOViW6LA7S%2F6u1QIw4BdHjY3lRZRTllTDyYiwhQ%3D%3D&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,455,650,4.4,181760,"1,16,703","42,134","13,531","3,934","5,458","14,665 Reviews",https://www.flipkart.com/garnier-men-turbo-bright-charcoal-skin-brightening-150gm-pack-2-face-wash/product-reviews/itm9dcae28ef75c2?pid=FCWGF44HDSWKKMYP&lid=LSTFCWGF44HDSWKKMYPT2CR8A&marketplace=FLIPKART,"[""For Men"",""Gel Based"",""For All Skin Types"",""Applied For: Radiance & Glow, Oil Control, Anti-dullness, Deep Cleansing, Skin Brightening"",""Comes in Tube""]",Not available,Not available,Men,Not available,Natural,2,Garnier Men,"Turbo Bright - Charcoal Skin Brightening ,150gm (Pack of 2)",300 g,Gel,32 Months,"Radiance & Glow, Oil Control, Anti-dullness, Deep Cleansing, Skin Brightening",All Skin Types,Tube,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
MUUCHSTAC Skin Lightening Oil and Face Wash  (2 Items in the set),https://rukminim1.flixcart.com/image/612/612/ku5ufm80/combo-kit/l/u/m/skin-lightening-oil-and-face-wash-not-attributed-muuchstac-original-imag7chjhqbk9jyt.jpeg?q=70,https://www.flipkart.com/muuchstac-skin-lightening-oil-face-wash/p/itmfdbfdnuyjazzg?pid=CBKFDAHRX369923Y&lid=LSTCBKFDAHRX369923YASFNFD&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.CBKFDAHRX369923Y.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,549,698,4.1,42198,"24,709","6,742","4,013","2,080","4,654","4,073 Reviews",https://www.flipkart.com/muuchstac-skin-lightening-oil-face-wash/product-reviews/itmfdbfdnuyjazzg?pid=CBKFDAHRX369923Y&lid=LSTCBKFDAHRX369923YASFNFD&marketplace=FLIPKART,"[""Pack of: 2"",""For: Men"",""Includes Men's Grooming Combo"",""Organic Product"",""For Professional Care""]",Not Attributed,Skin Lightening Oil (30 ml) : Face Wash (100 ml),Men,Men's Grooming Combo,"Vetiver, Turmeric, Sweet Almond Oil, Khus, Virgin Coconut Oil, etc",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
BOMBAY SHAVING COMPANY Travel Shaving Kit for Men  (5 Items in the set),https://rukminim1.flixcart.com/image/612/612/xif0q/combo-kit/y/w/i/travel-shaving-kit-for-men-5-shave-foam-50g-travel-shaving-kit-original-imagh87vrgyc9vyj.jpeg?q=70,https://www.flipkart.com/bombay-shaving-company-travel-kit-men/p/itma74854afbd521?pid=CBKGGNV9GUPGA5GY&lid=LSTCBKGGNV9GUPGA5GYM00NXT&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.CBKGGNV9GUPGA5GY.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,399,639,4.2,505,288,114,52,27,24,80 Reviews,https://www.flipkart.com/bombay-shaving-company-travel-kit-men/product-reviews/itma74854afbd521?pid=CBKGGNV9GUPGA5GY&lid=LSTCBKGGNV9GUPGA5GYM00NXT&marketplace=FLIPKART,"[""Pack of: 5"",""For: Men"",""Includes Men's Grooming Combo"",""Organic Product""]",SHAVE_FOAM_50G_TRAVEL_SHAVING_KIT,"Shaving Foam 50g, Disposable Razor, Post Shave Balm 45g, Charcoal Soap 125g, Travel Bag",Men,Men's Grooming Combo,Natural,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,No,Perfect for gift and travel needs,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
BOMBAY SHAVING COMPANY Beard Growth Kit with Onion Beard Growth Oil for Men & Beard Activator (Derma Roller Activator) For Fast Beard Growth  (2 Items in the set),https://rukminim1.flixcart.com/image/612/612/kuk4u4w0/combo-kit/r/k/m/beard-growth-kit-with-onion-beard-growth-oil-for-men-beard-original-imag7npb2tfmetbq.jpeg?q=70,https://www.flipkart.com/bombay-shaving-company-beard-growth-kit-onion-oil-men-activator-derma-roller-activator-fast/p/itmca59995fb7214?pid=CBKFQ3JZQTRVUXJH&lid=LSTCBKFQ3JZQTRVUXJHSXXEOK&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.CBKFQ3JZQTRVUXJH.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,409,590,4,8516,"4,160","2,006","1,137",462,751,557 Reviews,https://www.flipkart.com/bombay-shaving-company-beard-growth-kit-onion-oil-men-activator-derma-roller-activator-fast/product-reviews/itmca59995fb7214?pid=CBKFQ3JZQTRVUXJH&lid=LSTCBKFQ3JZQTRVUXJHSXXEOK&marketplace=FLIPKART,"[""Pack of: 2"",""For: Men"",""Includes Men's Grooming Combo""]",BEARD_GROWTH_BASIC KIT,30mL Beard Oil::1x Beard Activator(Derma Roller),Men,Men's Grooming Combo,"Onion, Rosemary, Essential Oils",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,No,Promotes growth of patchy beard,India,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Blue Nectar Saffron Men Face Cream for Anti Ageing, Day Night Cream Face Moisturizer for Men  (50 g)",https://rukminim1.flixcart.com/image/612/612/xif0q/body-skin-treatment/s/c/s/50-saffron-men-face-cream-for-anti-ageing-day-night-cream-face-original-imagkz9u4hhr2snh.jpeg?q=70,https://www.flipkart.com/blue-nectar-saffron-men-face-cream-anti-ageing-day-night-moisturizer/p/itm5e69863ee4746?pid=FCTEZA2HYFQEWUVK&lid=LSTFCTEZA2HYFQEWUVKEPY5VK&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_%2B%2B9pv7ulGuFp1tVXtPiQ7BcHSNqjYMv%2Fu1rYyRauGdIwegg50sXZooh1OoZmyouqoDMtJsAWPkP5pP8hudw47A%3D%3D&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,846,975,4.3,158,105,30,8,2,13,28 Reviews,https://www.flipkart.com/blue-nectar-saffron-men-face-cream-anti-ageing-day-night-moisturizer/product-reviews/itm5e69863ee4746?pid=FCTEZA2HYFQEWUVK&lid=LSTFCTEZA2HYFQEWUVKEPY5VK&marketplace=FLIPKART,"[""For Men"",""Form: Cream"",""Paraben Free"",""For Anti-aging""]",Not available,Anti Ageing Cream,Not available,Not available,Not available,Not available,Not available,"Saffron Men Face Cream for Anti Ageing, Day Night Cream Face Moisturizer for Men",Not available,Not available,Not available,Anti-aging,All Skin Types,Not available,Not available,Not available,Not available,Ayurvedic Natural,2 weeks,Daily,Yes,Cream,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Bombay Shaving Company Beard Growth Kit with Onion Beard Growth Oil for Men, Charcoal Face Wash & Beard Activator (Derma Roller Activator) For Fast Beard Growth  (1 Items in the set)",https://rukminim1.flixcart.com/image/612/612/ke0a7ww0/combo-kit/4/8/w/beardinator-4-step-beard-growth-kit-with-0-5mm-540-titanium-original-imafusmq2kypnggq.jpeg?q=70,https://www.flipkart.com/bombay-shaving-company-beard-growth-kit-onion-oil-men-charcoal-face-wash-activator-derma-roller-activator-fast/p/itm417a9952e9f44?pid=CBKFN8FAGG7H548W&lid=LSTCBKFN8FAGG7H548WODKTLT&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.CBKFN8FAGG7H548W.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,599,839,4,4881,"2,542","1,087",587,227,438,415 Reviews,https://www.flipkart.com/bombay-shaving-company-beard-growth-kit-onion-oil-men-charcoal-face-wash-activator-derma-roller-activator-fast/product-reviews/itm417a9952e9f44?pid=CBKFN8FAGG7H548W&lid=LSTCBKFN8FAGG7H548WODKTLT&marketplace=FLIPKART,"[""Pack of: 1"",""For: Men"",""Includes Men's Grooming Combo"",""Organic Product""]",BEARD_GROWTH_KIT,"Beard Growth Oil (Onion- 30 ml), Beard Activator, Charcoal Face Wash (100 gms), Beardvana Playlist, Beard Growth Tracker.",Men,Men's Grooming Combo,"Onion Oil for Hair Growth, Charcoal Face Wash For Deep Cleansing",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,No,"Get beard growth stimulating products for healthy strong beards, Specially formulated with the finest ingredients to start proper beard growth, Added benefits for skin and hair with the power of essential oils",India,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
MUUCHSTAC Skin Lightening Combo - Herbal Skin Lightening Oil and Sea Breeze Foam Face Wash with Brush  (2 Items in the set),https://rukminim1.flixcart.com/image/612/612/ku1k4280/combo-kit/y/l/r/skin-lightening-combo-herbal-skin-lightening-oil-and-sea-breeze-original-imag795jpknffwvv.jpeg?q=70,https://www.flipkart.com/muuchstac-skin-lightening-combo-herbal-oil-sea-breeze-foam-face-wash-brush/p/itm04bf0aab0c064?pid=CBKG795JT8HABH5G&lid=LSTCBKG795JT8HABH5GVDX9JG&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.CBKG795JT8HABH5G.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,486,898,4,3060,"1,815",421,276,180,368,203 Reviews,https://www.flipkart.com/muuchstac-skin-lightening-combo-herbal-oil-sea-breeze-foam-face-wash-brush/product-reviews/itm04bf0aab0c064?pid=CBKG795JT8HABH5G&lid=LSTCBKG795JT8HABH5GVDX9JG&marketplace=FLIPKART,"[""Pack of: 2"",""For: Men"",""Includes Men's Grooming Combo"",""Organic Product""]",1,"Herbal Skin Lightening Oil, Sea Breeze Face Wash",Men,Men's Grooming Combo,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
MUUCHSTAC Beard Growth Oil and Face Wash  (2 Items in the set),https://rukminim1.flixcart.com/image/612/612/ku5ufm80/combo-kit/z/3/u/beard-growth-oil-and-face-wash-mfc1-muuchstac-original-imag7chjg3z7uttg.jpeg?q=70,https://www.flipkart.com/muuchstac-beard-growth-oil-face-wash/p/itmfau49ghnvk7vt?pid=CBKFATNNGM7KHG8W&lid=LSTCBKFATNNGM7KHG8WHT9B1A&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.CBKFATNNGM7KHG8W.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,699,915,3.9,12191,"6,605","1,941","1,411",747,"1,487",826 Reviews,https://www.flipkart.com/muuchstac-beard-growth-oil-face-wash/product-reviews/itmfau49ghnvk7vt?pid=CBKFATNNGM7KHG8W&lid=LSTCBKFATNNGM7KHG8WHT9B1A&marketplace=FLIPKART,"[""Pack of: 2"",""For: Men"",""Includes Men's Grooming Combo"",""Organic Product"",""For Professional Care""]",MFC1,"Beard Growh Oil (60 ml), Face Wash (100 ml)",Men,Men's Grooming Combo,Various Natural Oil only,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Yes,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY Derma Roller for Men with 540 (0.5 mm) Micro-Needles  (1 g),https://rukminim1.flixcart.com/image/612/612/xif0q/body-skin-treatment/k/0/q/1-derma-roller-for-men-with-540-0-5-mm-micro-needles-the-man-original-imaghtfggzaefbkx.jpeg?q=70,https://www.flipkart.com/man-company-derma-roller-men-540-0-5-mm-micro-needles/p/itmc02acc2748312?pid=BSTGGSGHKGYKFVHG&lid=LSTBSTGGSGHKGYKFVHGPOYCJH&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_%2B%2B9pv7ulGuFp1tVXtPiQ7BcHSNqjYMv%2Fu1rYyRauGdK3n4MzHIOjGuSjk4Osp3LToxvDn8sFtH%2BtyWE33aRCHg%3D%3D&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,273,499,4.4,332,212,70,29,7,14,64 Reviews,https://www.flipkart.com/man-company-derma-roller-men-540-0-5-mm-micro-needles/product-reviews/itmc02acc2748312?pid=BSTGGSGHKGYKFVHG&lid=LSTBSTGGSGHKGYKFVHGPOYCJH&marketplace=FLIPKART,"[""For Men"",""Form: Roller"",""For Exfoliation""]",Not available,1,Not available,Not available,Not available,Not available,Not available,Derma Roller for Men with 540 (0.5 mm) Micro-Needles,Not available,Not available,Not available,Exfoliation,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Roller,1 Derma Roller,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"BOMBAY SHAVING COMPANY Shaving Gifting Kit For Men with Pre-Shave Scrub, Shaving Cream, Post Shave Balm, Charcoal Soap, Towel & Travel Pouch  (6 Items in the set)",https://rukminim1.flixcart.com/image/612/612/l5bd5zk0/combo-kit/f/r/4/shaving-kit-for-men-with-pre-shave-scrub-shaving-cream-post-original-imaggyh9gvzfxuzj.jpeg?q=70,https://www.flipkart.com/bombay-shaving-company-gifting-kit-men-pre-shave-scrub-cream-post-shave-balm-charcoal-soap-towel-travel-pouch/p/itm2e0621bc7d858?pid=CBKFWSFEYSUV5ZXH&lid=LSTCBKFWSFEYSUV5ZXHXZQMJW&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.CBKFWSFEYSUV5ZXH.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,555,942,4.4,1532,963,377,111,28,53,183 Reviews,https://www.flipkart.com/bombay-shaving-company-gifting-kit-men-pre-shave-scrub-cream-post-shave-balm-charcoal-soap-towel-travel-pouch/product-reviews/itm2e0621bc7d858?pid=CBKFWSFEYSUV5ZXH&lid=LSTCBKFWSFEYSUV5ZXHXZQMJW&marketplace=FLIPKART,"[""Pack of: 6"",""For: Men"",""Includes Men's Grooming Combo""]",SHAVE_SCE45_CBS125_TRAVEL_KIT,"1 Scrub, 1 Shaving Cream, 1 Balm, 1 Charcoal Soap, 1 Travel Kit, 1 shave dab",Men,Men's Grooming Combo,"Aloe Vera, Vitamin E, Tea Tree Oil, Beeswax, Witch Hazel, Activated Bamboo Charcoal",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,No,"Make every morning a happy one with the goodness of our superfood infused Shaving Kit for men. This mens grooming kit ncludes Pre Shave Scrub, Shaving Cream, Post Shave Balm, Charcoal Soap, Towel & Travel Kit. Prepare your skin for a delightful shave with the goodness of Aloe Vera & Vitamin E. The moisturising shave cream creates a rich lather with skin-friendly ingredients like Tea Tree Oil, Beeswax & Aloe Vera. Alcohol-­free cooling balm soothes and repairs the skin using essential oils, Witch Hazel and Vitamin E. -Charcoal Soap: Natural & handmade soap deep-cleanses the skin powered by Activated Bamboo Charcoal extracts.",India,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Navratna Cool Talc Floral Freeze  (400 g),https://rukminim1.flixcart.com/image/612/612/kz7bcsw0/talc/0/m/k/400-cool-talc-floral-freeze-1-navratna-original-imagb9q3hckzavxv.jpeg?q=70,https://www.flipkart.com/navratna-cool-talc-floral-freeze/p/itm3540449ad84a7?pid=TLCGB9Q2RS7HPGHH&lid=LSTTLCGB9Q2RS7HPGHHMWMBLW&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.TLCGB9Q2RS7HPGHH.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,180,300,4.5,5072,"3,451",966,386,130,139,374 Reviews,https://www.flipkart.com/navratna-cool-talc-floral-freeze/product-reviews/itm3540449ad84a7?pid=TLCGB9Q2RS7HPGHH&lid=LSTTLCGB9Q2RS7HPGHHMWMBLW&marketplace=FLIPKART,"[""Ideal For: Men""]",Not available,Not available,Men,Not available,Synthetic,1,Navratna,Cool Talc Floral Freeze,400 g,Not available,36 Months,Not available,Not available,Not available,Not available,Not available,India,Not available,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Garnier Men Acno Fight - For Pimple And Acne Prone Skin, 150gm (Pack of 2) Face Wash  (300 g)",https://rukminim1.flixcart.com/image/612/612/kx50gi80/face-wash/b/j/r/-original-imag9nqpzmgrtaaw.jpeg?q=70,https://www.flipkart.com/garnier-men-acno-fight-pimple-acne-prone-skin-150gm-pack-2-face-wash/p/itmae82cc7bb1ed1?pid=FCWGF44MWWHFUWQM&lid=LSTFCWGF44MWWHFUWQMNJS1RY&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=a087a033-283d-41f4-b357-fa9808e5425f.FCWGF44MWWHFUWQM.SEARCH&ppt=None&ppn=None&ssid=uxjp5xo4eo0000001680602709026&qH=6d8d1e0ec3dc32f0,243,325,4.5,54729,"36,985","11,341","3,427","1,185","1,791","3,838 Reviews",https://www.flipkart.com/garnier-men-acno-fight-pimple-acne-prone-skin-150gm-pack-2-face-wash/product-reviews/itmae82cc7bb1ed1?pid=FCWGF44MWWHFUWQM&lid=LSTFCWGF44MWWHFUWQMNJS1RY&marketplace=FLIPKART,"[""For Men"",""Gel Based"",""For All Skin Types"",""Applied For: Oil Control, Blackhead Remover, Anti-acne & Pimples, Skin Brightening"",""Comes in Tube""]",Not available,Not available,Men,Not available,Natural,2,Garnier Men,"Acno Fight - For Pimple And Acne Prone Skin, 150gm (Pack of 2)",300 g,Gel,32 Months,"Oil Control, Blackhead Remover, Anti-acne & Pimples, Skin Brightening",All Skin Types,Tube,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
