ProductName,imagelink,productlink,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,globalReviews,reviewsLink,HighLights,Fragrance Classification,Ideal For,Quantity,Country of Origin,Sales Package,Pack of,Brand,Model Name,Type,Maximum Shelf Life,Anti Perspirant,Fragrance Family,Limited Edition,Other Traits,Model Number,Ingredient Type,Applied For,Organic Type,Ideal Usage,Container Type,Composition,Skin Type,UV Protection,Other Features,Hair Type,Treatment Kit Contents,Treatment Form,Hair Styling Type,Face Wash Type,Gift Pack,PA Rating,SPF Rating,Formulation,Sulfate Free,Professional Care,Organic,Other Feature,Blade Material,Color,Trimming Range,Suitable For,Length Adjustments,Power Source,Battery Run Time,Warranty Summary,Service Type,Covered in Warranty,Not Covered in Warranty,Flavor,Pack Of,Form,Application Area,Applied For (Face),Applied For (Body),Paraben Free,Dermatologist Tested,Instruction,Serum Type,Hair Condition,Shade,Cleanser Type,Brand Color,Material,Water Tank Capacity,Droplet Size,Atomization Quantity,Power Requirement,Power Consumption,Length,Weight
THE MAN COMPANY Black perfume Eau de Toilette  -  50 ml  (For Men),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/z/0/p/50-black-perfume-eau-de-toilette-the-man-company-men-original-imagkvac7eaqkbjq.jpeg?q=70,https://www.flipkart.com/man-company-black-perfume-eau-de-toilette-50-ml/p/itm362a7d107d090?pid=PERFTY36CEY3UQY2&lid=LSTPERFTY36CEY3UQY2RG3BME&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.PERFTY36CEY3UQY2.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,414,1299,4,35324,"17,708","7,551","4,395","2,050","3,620","3,666 Reviews",https://www.flipkart.com/man-company-black-perfume-eau-de-toilette-50-ml/product-reviews/itm362a7d107d090?pid=PERFTY36CEY3UQY2&lid=LSTPERFTY36CEY3UQY2RG3BME&marketplace=FLIPKART,"[""Quantity: 50 ml"",""Ideal For: Men"",""Fragrance Classification: Eau de Toilette"",""Fragrance Family: Oriental"",""Base Note: Amberwood, Musk and Sandalwood"",""Heart Note: Lemon, Birch leaves and Cardamom"",""Top Note: Lavender, Geranium and Juniper""]",Eau de Toilette,Men,50 ml,India,EDT Black - 50ml (1 unit),Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY Blanc Long-Lasting | Lasts Upto 1000 Sprays | Office Wear Deodorant Spray  -  For Men  (120 ml),https://rukminim1.flixcart.com/image/612/612/xif0q/deodorant/0/n/q/120-non-gas-body-perfume-for-men-blanc-120-ml-no-gas-deodorant-original-imagnaqcfgsv5zjp.jpeg?q=70,https://www.flipkart.com/man-company-blanc-long-lasting-lasts-upto-1000-sprays-office-wear-deodorant-spray-men/p/itm348dd5586fb3b?pid=DEOF3J7Q3J2ZD8CV&lid=LSTDEOF3J7Q3J2ZD8CVHMB1GE&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.DEOF3J7Q3J2ZD8CV.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,253,399,4.2,30125,"16,721","6,910","3,254","1,312","1,928","3,449 Reviews",https://www.flipkart.com/man-company-blanc-long-lasting-lasts-upto-1000-sprays-office-wear-deodorant-spray-men/product-reviews/itm348dd5586fb3b?pid=DEOF3J7Q3J2ZD8CV&lid=LSTDEOF3J7Q3J2ZD8CVHMB1GE&marketplace=FLIPKART,"[""Quantity: 120 ml"",""Fragrance: Deodorant Spray"",""For Men"",""Limited Edition""]",Not available,Men,120 ml,India,1 Blanc Body Perfume (120ml),1,THE MAN COMPANY,Blanc Long-Lasting | Lasts Upto 1000 Sprays | Office Wear,Deodorant Spray,36 Months,No,Fresh,Yes,"Step 1: Shake the can before use., Step 2: Hold it 15 cm away from your body., Step 3: Spray the perfume, keeping it away from eyes & cuts/wounds.",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"THE MAN COMPANY Privilege Combo Travel Pack | Premium Long Lasting Fragrance Deodorant Spray  -  For Men & Women  (160 ml, Pack of 4)",https://rukminim1.flixcart.com/image/612/612/xif0q/deodorant/z/t/r/160-privilege-deodorants-combo-pack-premium-long-lasting-original-imaggdkrhp9ymz3r.jpeg?q=70,https://www.flipkart.com/man-company-privilege-combo-travel-pack-premium-long-lasting-fragrance-deodorant-spray-men-women/p/itm0c489f192c886?pid=DEOGCSYWZTKB7DAC&lid=LSTDEOGCSYWZTKB7DACEHXUCI&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.DEOGCSYWZTKB7DAC.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,241,396,3.8,16109,"7,650","3,066","2,333","1,187","1,873","1,347 Reviews",https://www.flipkart.com/man-company-privilege-combo-travel-pack-premium-long-lasting-fragrance-deodorant-spray-men-women/product-reviews/itm0c489f192c886?pid=DEOGCSYWZTKB7DAC&lid=LSTDEOGCSYWZTKB7DACEHXUCI&marketplace=FLIPKART,"[""Quantity: 160 ml"",""Fragrance: Deodorant Spray"",""For Men & Women""]",Not available,Men & Women,160 ml,Not available,Not available,4,THE MAN COMPANY,Privilege Combo Travel Pack | Premium Long Lasting Fragrance,Deodorant Spray,36 Months,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY THE CHARCOAL GANG  (6 Items in the set),https://rukminim1.flixcart.com/image/612/612/xif0q/combo-kit/a/y/u/the-charcoal-gang-6-tmc-web-225-the-man-company-original-imagmdfh4yegatnf.jpeg?q=70,https://www.flipkart.com/man-company-charcoal-gang/p/itmfbf53565d109f?pid=CBKFZHF3U7U5P83V&lid=LSTCBKFZHF3U7U5P83VWWBZSU&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=en_zJZ3XAbOdfdxF%2Bbho86I2DLsvjGRrQtw4keRUs0HV23N7jO5DQfQbacMWrUsnrwcxfvZzf%2BqEoYHXkfGEGlZBA%3D%3D&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,1643,2696,4.5,570,395,115,27,10,23,35 Reviews,https://www.flipkart.com/man-company-charcoal-gang/product-reviews/itmfbf53565d109f?pid=CBKFZHF3U7U5P83V&lid=LSTCBKFZHF3U7U5P83VWWBZSU&marketplace=FLIPKART,"[""Pack of: 6"",""For: Men"",""Includes Men's Grooming Combo"",""Organic Product""]",Not available,Men,Not available,Not available,"Body Wash, Shampoo, Face Scrub, Face Wash, Cleansing Gel, Soap",Not available,Not available,Not available,Men's Grooming Combo,Not available,Not available,Not available,Not available,Not available,TMC-WEB-225,Natural,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY 40% Vitamin C Face serum with Hyaluronic Acid for Brightening and AntiAging  (30 ml),https://rukminim1.flixcart.com/image/612/612/xif0q/fairness/k/h/j/30-40-vitamin-c-face-serum-with-hyaluronic-acid-for-brightening-original-imagjgrcuhrc54qh.jpeg?q=70,https://www.flipkart.com/man-company-40-vitamin-c-face-serum-hyaluronic-acid-brightening-antiaging/p/itm0bbd7dfc5d370?pid=FRNFPCWWNPQXY7RN&lid=LSTFRNFPCWWNPQXY7RNBTYYTR&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.FRNFPCWWNPQXY7RN.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,354,499,4.1,6412,"3,396","1,585",728,265,438,537 Reviews,https://www.flipkart.com/man-company-40-vitamin-c-face-serum-hyaluronic-acid-brightening-antiaging/product-reviews/itm0bbd7dfc5d370?pid=FRNFPCWWNPQXY7RN&lid=LSTFRNFPCWWNPQXY7RNBTYYTR&marketplace=FLIPKART,"[""Night, Day Usage Serum For Radiance & Glow, Blemish Removal, Anti-ageing, Moisturization & Nourishment, Skin Brightening, Anti-tan"",""For Men, Women"",""Organic Type: Natural""]",Not available,"Men, Women",30 ml,Not available,1,1,THE MAN COMPANY,40% Vitamin C Face serum with Hyaluronic Acid for Brightening and AntiAging,Serum,36 Months,Not available,Not available,Not available,Not available,Not available,Not available,"Radiance & Glow, Blemish Removal, Anti-ageing, Moisturization & Nourishment, Skin Brightening, Anti-tan",Natural,"Night, Day",Glass Container,"Hyaluronic Acid, Moringa Essential Oil, Gotu Kola extract, Licorice extract, Aloe Vera Extract, Citric Acid",all skin type,No,"Free of harmful chemicals: The product is free of sulphate, parabens, artificial preservatives and colors, SUITABLE FOR ALL SKIN TYPES: The face serum is dermatologically tested & is suitable for all skin types., Give your face a radiant glow, How to use: - Wash your face - Take 4-5 drops on the palm - Massage gently on the face till the serum is completely absorbed For best results use it at the end of your day and leave it overnight.",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY Hairfall Control 2-in-1 Shampoo & Conditioner for Men  (200 ml),https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/b/g/d/200-hairfall-control-2-in-1-shampoo-conditioner-for-men-the-man-original-imagm6ufqksgtdh5.jpeg?q=70,https://www.flipkart.com/man-company-hairfall-control-2-in-1-shampoo-conditioner-men/p/itm0825398c58f42?pid=SMPGH3ZFPKVUH2HD&lid=LSTSMPGH3ZFPKVUH2HD3YBRYQ&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.SMPGH3ZFPKVUH2HD.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,186,249,4.4,259,147,80,22,4,6,43 Reviews,https://www.flipkart.com/man-company-hairfall-control-2-in-1-shampoo-conditioner-men/product-reviews/itm0825398c58f42?pid=SMPGH3ZFPKVUH2HD&lid=LSTSMPGH3ZFPKVUH2HD3YBRYQ&marketplace=FLIPKART,"[""Anti-hair Fall Shampoo"",""Ideal For: Men"",""Suitable For: All Hair Types""]",Not available,Men,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Anti-hair Fall,Not available,Not available,Not available,Not available,Not available,Not available,Not available,All Hair Types,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY Derma Roller for Men with 540 (0.5 mm) Micro-Needles  (1 g),https://rukminim1.flixcart.com/image/612/612/xif0q/body-skin-treatment/k/0/q/1-derma-roller-for-men-with-540-0-5-mm-micro-needles-the-man-original-imaghtfggzaefbkx.jpeg?q=70,https://www.flipkart.com/man-company-derma-roller-men-540-0-5-mm-micro-needles/p/itmc02acc2748312?pid=BSTGGSGHKGYKFVHG&lid=LSTBSTGGSGHKGYKFVHGPOYCJH&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.BSTGGSGHKGYKFVHG.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,273,499,4.4,332,212,70,29,7,14,64 Reviews,https://www.flipkart.com/man-company-derma-roller-men-540-0-5-mm-micro-needles/product-reviews/itmc02acc2748312?pid=BSTGGSGHKGYKFVHG&lid=LSTBSTGGSGHKGYKFVHGPOYCJH&marketplace=FLIPKART,"[""For Men"",""Form: Roller"",""For Exfoliation""]",Not available,Not available,Not available,Not available,1,Not available,Not available,Derma Roller for Men with 540 (0.5 mm) Micro-Needles,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Exfoliation,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1 Derma Roller,Roller,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY Hair Removal Cream Removes Unwanted Hair In 5 Minutes Dermatologically Tested Cream  (100 g),https://rukminim1.flixcart.com/image/612/612/l1grgcw0/hair-removal/r/5/i/100-hair-removal-cream-removes-unwanted-hair-in-5-minutes-original-imagdyw625tg5yau.jpeg?q=70,https://www.flipkart.com/man-company-hair-removal-cream-removes-unwanted-5-minutes-dermatologically-tested/p/itm7472c59111faa?pid=HRMGDYW6RM4BKUU3&lid=LSTHRMGDYW6RM4BKUU3V4GLRB&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_zJZ3XAbOdfdxF%2Bbho86I2DLsvjGRrQtw4keRUs0HV23Rgaryvgxf9P9j9K%2BC%2BdqW4o%2BoS2cFbKgdFLAEsveUzQ%3D%3D&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,199,249,3.8,2470,"1,102",536,334,176,322,247 Reviews,https://www.flipkart.com/man-company-hair-removal-cream-removes-unwanted-5-minutes-dermatologically-tested/product-reviews/itm7472c59111faa?pid=HRMGDYW6RM4BKUU3&lid=LSTHRMGDYW6RM4BKUU3V4GLRB&marketplace=FLIPKART,"[""Type: Cream"",""Ideal For: Men & Women""]",Not available,Men & Women,100 g,Not available,Not available,Not available,THE MAN COMPANY,Hair Removal Cream Removes Unwanted Hair In 5 Minutes Dermatologically Tested,Cream,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,All,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY Brawn Hair Wax - Almond & Argan Oil 50g Hair Wax  (50 g),https://rukminim1.flixcart.com/image/612/612/l0lbrm80/hair-styling/x/e/p/hair-wax-50-brawn-hair-wax-almond-argan-oil-50g-the-man-company-original-imagccdhk5yysymg.jpeg?q=70,https://www.flipkart.com/man-company-brawn-hair-wax-almond-argan-oil-50g/p/itm2855a4b8f976d?pid=HSYFYM65UGEUNKHR&lid=LSTHSYFYM65UGEUNKHRLQOR41&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.HSYFYM65UGEUNKHR.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,194,249,4.1,3233,"1,648",758,435,173,219,241 Reviews,https://www.flipkart.com/man-company-brawn-hair-wax-almond-argan-oil-50g/product-reviews/itm2855a4b8f976d?pid=HSYFYM65UGEUNKHR&lid=LSTHSYFYM65UGEUNKHRLQOR41&marketplace=FLIPKART,"[""For Men"",""For All Hair Types"",""Type: Hair Wax"",""Quantity: 50""]",Not available,Men,50 g,Not available,Not available,Not available,THE MAN COMPANY,Brawn Hair Wax - Almond & Argan Oil 50g,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Jar,Not available,Not available,Not available,Not available,All Hair Types,Not available,Not available,Hair Wax,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY Hair Volumizing Powder Wax Strong Hold | Matte Finish | Non Greasy Hair Powder  (5 g),https://rukminim1.flixcart.com/image/612/612/xif0q/hair-styling/s/f/r/hair-powder-5-hair-volumizing-powder-wax-strong-hold-matte-original-imagkw5py32ysmtk.jpeg?q=70,https://www.flipkart.com/man-company-hair-volumizing-powder-wax-strong-hold-matte-finish-non-greasy/p/itme260f7d350e4c?pid=HSYGKW5PZ3SFXFH2&lid=LSTHSYGKW5PZ3SFXFH2QYUNMM&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.HSYGKW5PZ3SFXFH2.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,212,299,4.1,212,116,49,19,9,19,35 Reviews,https://www.flipkart.com/man-company-hair-volumizing-powder-wax-strong-hold-matte-finish-non-greasy/product-reviews/itme260f7d350e4c?pid=HSYGKW5PZ3SFXFH2&lid=LSTHSYGKW5PZ3SFXFH2QYUNMM&marketplace=FLIPKART,"[""For Men"",""For All Hair Types"",""Type: Hair Powder"",""Quantity: 5""]",Not available,Men,5 g,Not available,Not available,Not available,THE MAN COMPANY,Hair Volumizing Powder Wax Strong Hold | Matte Finish | Non Greasy,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,All Hair Types,Not available,Not available,Hair Powder,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY Anti-ageing & Instant Glow For Oily Skin Vitamin C Face Wash  (75 ml),https://rukminim1.flixcart.com/image/612/612/xif0q/face-wash/q/y/a/75-anti-ageing-instant-glow-for-oily-skin-vitamin-c-the-man-original-imagkhzfgsperf89.jpeg?q=70,https://www.flipkart.com/man-company-anti-ageing-instant-glow-oily-skin-vitamin-c-face-wash/p/itm134949e25f09b?pid=FCWGKHZMB2CM4Q3B&lid=LSTFCWGKHZMB2CM4Q3BQVSFOX&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.FCWGKHZMB2CM4Q3B.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,175,250,4.3,461,282,103,42,16,18,80 Reviews,https://www.flipkart.com/man-company-anti-ageing-instant-glow-oily-skin-vitamin-c-face-wash/product-reviews/itm134949e25f09b?pid=FCWGKHZMB2CM4Q3B&lid=LSTFCWGKHZMB2CM4Q3BQVSFOX&marketplace=FLIPKART,"[""For Men"",""Liquid Based"",""For All Skin Types"",""Applied For: Radiance & Glow""]",Not available,Men,75 ml,Not available,Not available,Not available,THE MAN COMPANY,Anti-ageing & Instant Glow For Oily Skin Vitamin C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Radiance & Glow,Not available,Not available,Not available,Not available,All Skin Types,Not available,Not available,Not available,Not available,Not available,Not available,Liquid,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"THE MAN COMPANY Charcoal Grooming Kit (Body Wash, Shampoo, Face Scrub, Face Wash, Cleansing Gel, Soap Bar) Set of 6  (6 Items in the set)",https://rukminim1.flixcart.com/image/612/612/xif0q/combo-kit/p/w/v/charcoal-grooming-kit-body-wash-shampoo-face-scrub-face-wash-original-imaghjnqfe4fcyev.jpeg?q=70,https://www.flipkart.com/man-company-charcoal-grooming-kit-body-wash-shampoo-face-scrub-cleansing-gel-soap-bar-set-6/p/itme06fd5374b23d?pid=CBKFTTYHWF942EAE&lid=LSTCBKFTTYHWF942EAE4BIFGS&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_zJZ3XAbOdfdxF%2Bbho86I2DLsvjGRrQtw4keRUs0HV21cG2dIXLGi8HmCAUUFdMDsB27MnW6qi5YLIP5J4p4VEw%3D%3D&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,1670,2695,4.4,441,291,86,34,11,19,24 Reviews,https://www.flipkart.com/man-company-charcoal-grooming-kit-body-wash-shampoo-face-scrub-cleansing-gel-soap-bar-set-6/product-reviews/itme06fd5374b23d?pid=CBKFTTYHWF942EAE&lid=LSTCBKFTTYHWF942EAE4BIFGS&marketplace=FLIPKART,"[""Pack of: 6"",""For: Men"",""Includes Men's Grooming Combo""]",Not available,Men,Not available,Not available,"Face Wash (100 ml), Face Scrub (100 gm), Cleansing Gel (100 ml), Charcoal Shampoo (250 ml), Charcoal Body wash (250 ml) and Charcoal Soap (125 gm)",Not available,Not available,Not available,Men's Grooming Combo,Not available,Not available,Not available,Not available,Not available,TMC-WEB-225T,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY Sunscreen For Oily Skin With Matte Effect - For Men - SPF 30 PA+++  (100 ml),https://rukminim1.flixcart.com/image/612/612/xif0q/sunscreen/w/c/v/100-sunscreen-for-oily-skin-with-matte-effect-for-men-30-the-man-original-imagjgrgwqnnthug.jpeg?q=70,https://www.flipkart.com/man-company-sunscreen-oily-skin-matte-effect-men-spf-30-pa/p/itma951e799cb34d?pid=SNRGHFP3GDGT2ZGH&lid=LSTSNRGHFP3GDGT2ZGHND0JT6&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.SNRGHFP3GDGT2ZGH.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,311,399,4.3,60,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""For Men"",""Suitable For Normal Skin"",""Lotion Form"",""PA+++"",""Paraben Free""]",Not available,Men,100 ml,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Normal Skin,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,PA+++,30,Lotion,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"THE MAN COMPANY Privilege Intense , Legend, Bold & Active Deodorant Spray  -  For Men  (600 ml, Pack of 4)",https://rukminim1.flixcart.com/image/612/612/l5iid8w0/deodorant/j/b/5/600-privilege-intense-legend-bold-active-4-deodorant-spray-the-original-imagg6hb7qgtgbjy.jpeg?q=70,https://www.flipkart.com/man-company-privilege-intense-legend-bold-active-deodorant-spray-men/p/itm374e00bc12d74?pid=DEOGA2EHYSSQFSFE&lid=LSTDEOGA2EHYSSQFSFEFKFTZB&marketplace=FLIPKART&q=man+company&store=search.flipkart.com&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=61f7f3a2-7659-409d-9b45-771655719759.DEOGA2EHYSSQFSFE.SEARCH&ppt=None&ppn=None&ssid=tty1kok2280000001680599844781&qH=a12c5d63a3c97bb2,551,996,4.1,14318,"7,716","3,187","1,750",722,943,"1,388 Reviews",https://www.flipkart.com/man-company-privilege-intense-legend-bold-active-deodorant-spray-men/product-reviews/itm374e00bc12d74?pid=DEOGA2EHYSSQFSFE&lid=LSTDEOGA2EHYSSQFSFEFKFTZB&marketplace=FLIPKART,"[""Quantity: 600 ml"",""Fragrance: Deodorant Spray"",""For Men""]",Not available,Men,600 ml,Not available,4,4,THE MAN COMPANY,"Privilege Intense , Legend, Bold & Active",Deodorant Spray,36 Months,Not available,Fresh,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
